summary,city,neighborhood,region,price,square_meters,bedrooms,bathrooms,images,num_images,image_data,property_type,r1r6.property,r1r6.kitchen,r1r6.bathroom,r1r6.interior,style.label,style.confidence,dining_room.hardwood_floor,dining_room.natural_light,dining_room.best_photo_idx,balcony.balcony,balcony.best_photo_idx,terrace.fence,terrace.best_photo_idx,outdoor_building.fence,outdoor_building.best_photo_idx,empty_room.hardwood_floor,empty_room.natural_light,empty_room.washer__dryer,empty_room.floor_ceiling_windows,empty_room.best_photo_idx,living_room.fireplace,living_room.hardwood_floor,living_room.tv,living_room.best_photo_idx,kitchen.dark_brown_cabinets,kitchen.low_ceiling,kitchen.natural_light,kitchen.stovetop,kitchen.tile_floor,kitchen.washer__dryer,kitchen.backsplash,kitchen.countertops,kitchen.oven,kitchen.microwave,kitchen.refrigerator,kitchen.best_photo_idx,room-bedroom.hardwood_floor,room-bedroom.natural_light,room-bedroom.tv,room-bedroom.best_photo_idx,office.hardwood_floor,office.natural_light,office.best_photo_idx,bathroom.combined_bath_shower,bathroom.mirror,bathroom.sink,bathroom.toilet,bathroom.vanity,bathroom.best_photo_idx,details,details.best_photo_idx,living-dining_room.natural_light,living-dining_room.tile_floor,living-dining_room.tv,living-dining_room.best_photo_idx,kitchen.brown_cabinets,kitchen.tile_wall,outdoor_building.built_in_garage,outdoor_building.awning,kitchen.concrete_floor,kitchen.radiator,empty_room.radiator,empty_room.tile_floor,pool.fence,pool.patio,pool.pool,pool.best_photo_idx,documents,documents.best_photo_idx,3D_floor_plan,3D_floor_plan.best_photo_idx,office.radiator,kitchen.range_hood,empty_room.concrete_floor,empty_room.vaulted_ceiling,bathroom.tile_floor,bathroom.tile_wall,laundry_room.natural_light,laundry_room.radiator,laundry_room.separate_washer__dryer,laundry_room.tile_floor,laundry_room.best_photo_idx,terrace.balcony,hall-corridor.tile_floor,hall-corridor.best_photo_idx,room-bedroom.tile_floor,living_room.aggregate_floor,living_room.natural_light,living_room.tile_floor,living_room.radiator,room-bedroom.radiator,kitchen.water_heater,kitchen.white_cabinets,hall-corridor.natural_light,bathroom.bath,bathroom.shower,laundry_room.washer__dryer,laundry_room.refrigerator,outdoor_building,terrace.bocce_ball,living-dining_room.aggregate_floor,living-dining_room.crown_molding,empty_room.aggregate_floor,empty_room.wood_wall,room-bedroom.carpet,room-bedroom.aggregate_floor,hall-corridor.aggregate_floor,hall-corridor.radiator,terrace.patio,garden.fence,garden.best_photo_idx,energy_certificate,energy_certificate.best_photo_idx,kitchen.hardwood_floor,bathroom.radiator,room-bedroom.crown_molding,laundry_room.water_heater,hall-corridor.carpet,storage_pantry,storage_pantry.best_photo_idx,reception-lobby,reception-lobby.best_photo_idx,bathroom.backsplash,bathroom.double_sink,parking,parking.best_photo_idx,bathroom.concrete_floor,terrace.awning,balcony,living-dining_room.hardwood_floor,living-dining_room.wall_mounted_ac,hall-corridor.hardwood_floor,dining_room.tv,kitchen.dishwasher,laundry_room.crown_molding,bathroom.natural_light,empty_room.wall_mounted_ac,hall-corridor,terrace,outdoor_house.fence,outdoor_house.lawn,outdoor_house.pool,outdoor_house.best_photo_idx,terrace.fireplace,hall-corridor.floor_ceiling_windows,dining_room.tile_floor,dining_room.washer__dryer,stairs.natural_light,stairs.best_photo_idx,office.tv,storage_pantry.refrigerator,garden.lawn,garden.pool,outdoor_house.awning,outdoor_house.gate,garden.awning,garden.patio,garden.water_view,pool.lawn,living_room.stone_wall,living_room.vaulted_ceiling,dining_room.radiator,stairs,gym.concrete_floor,gym.best_photo_idx,pool.gazebo,living-dining_room.fireplace,living_room.carpet,room-bedroom.concrete_floor,office.tile_floor,balcony.outdoor_bar,balcony.patio,kitchen.french_doors,dining_room.fireplace,laundry_room.stacked_washer__dryer,reception-lobby.fireplace,kitchen.stone_countertops,empty_room.carpet,empty_room.wood_ceiling,storage_pantry.radiator,stairs.brick_wall,hall-corridor.elevator,hall-corridor.concrete_ceiling,hall-corridor.water_heater,kitchen.parquet_floor,empty_room.crown_molding,balcony.deck,room-bedroom,2D_floor_plan,2D_floor_plan.best_photo_idx,living_room.brick_wall,living_room.wall_mounted_ac,clusters
Piso en Corró D´Avall,Corró d'Avall,Les Franqueses del Vallès,barcelona,219000,94,3,2,['https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/318950__014.jpg'],1,"{'r1r6': {'property': 3.1, 'kitchen': None, 'bathroom': None, 'interior': 3.1}, 'style': {'label': None, 'confidence': None}, 'features_by_room_type': {'room-bedroom': {'unique_features': [{'label': 'natural_light', 'details': []}], 'best_photo_idx': 0}}}",condo_apartment,3.1,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Dúplex en Carrer de Girona, cerca de Carrer del Ponent",Bellavista,Les Franqueses del Vallès,barcelona,320000,188,4,2,['https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/320036__004.jpg'],1,"{'r1r6': {'property': 2.4, 'kitchen': None, 'bathroom': None, 'interior': 2.4}, 'style': {'label': None, 'confidence': None}, 'features_by_room_type': {'dining_room': {'unique_features': [{'label': 'hardwood_floor', 'details': ['light']}, {'label': 'natural_light', 'details': []}], 'best_photo_idx': 0}}}",condo_apartment,2.4,,,2.4,,,['light'],[],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Dúplex en Pabellon,Corró d'Avall,Les Franqueses del Vallès,barcelona,288000,128,4,3,['https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/320037__000.jpg'],1,"{'r1r6': {'property': None, 'kitchen': None, 'bathroom': None, 'interior': None}, 'style': {'label': None, 'confidence': None}, 'features_by_room_type': {'terrace': {'unique_features': [{'label': 'fence', 'details': []}], 'best_photo_idx': 0}}}",condo_apartment,,,,,,,,,,,,[],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Dúplex en Carrer de Torre Pinòs,Bellavista,Les Franqueses del Vallès,barcelona,255000,98,3,2,['https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/320059__031.jpg'],1,"{'r1r6': {'property': 2.4, 'kitchen': None, 'bathroom': None, 'interior': 2.4}, 'style': {'label': None, 'confidence': None}, 'features_by_room_type': {'living-dining_room': {'unique_features': [{'label': 'natural_light', 'details': []}, {'label': 'tile_floor', 'details': ['light']}, {'label': 'tv', 'details': []}], 'best_photo_idx': 0}}}",condo_apartment,2.4,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],['light'],[],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Dúplex en Corró d'Avall,Corró d'Avall,Les Franqueses del Vallès,barcelona,337000,144,3,2,['https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/320170__003.jpg'],1,"{'r1r6': {'property': 3.5, 'kitchen': 3.5, 'bathroom': None, 'interior': None}, 'style': {'label': None, 'confidence': None}, 'features_by_room_type': {'kitchen': {'unique_features': [{'label': 'backsplash', 'details': []}, {'label': 'concrete_floor', 'details': ['light']}, {'label': 'countertops', 'details': ['light']}, {'label': 'radiator', 'details': []}, {'label': 'stovetop', 'details': ['black', 'electric']}], 'best_photo_idx': 0}}}",condo_apartment,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,"['black', 'electric']",,,[],['light'],,,,0,,,,,,,,,,,,,,,,,,,,,,,,['light'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Finca rústica en Corró d'Avall,Corró d'Avall,Les Franqueses del Vallès,barcelona,1100000,1000,8,5,['https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/321512__000.jpg'],1,"{'r1r6': {'property': None, 'kitchen': None, 'bathroom': None, 'interior': None}, 'style': {'label': None, 'confidence': None}, 'features_by_room_type': {'pool': {'unique_features': [{'label': 'lawn', 'details': []}, {'label': 'patio', 'details': []}, {'label': 'pool', 'details': []}], 'best_photo_idx': 0}}}",single_family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Loft en calle Catlunya,Llerona,Les Franqueses del Vallès,barcelona,155000,87,1,1,['https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/321814__009.jpg'],1,"{'r1r6': {'property': 3.3, 'kitchen': None, 'bathroom': None, 'interior': 3.3}, 'style': {'label': None, 'confidence': None}, 'features_by_room_type': {'living_room': {'unique_features': [{'label': 'natural_light', 'details': []}, {'label': 'stone_wall', 'details': []}, {'label': 'tv', 'details': []}], 'best_photo_idx': 0}}}",condo_apartment,3.3,,,3.3,,,,,,,,,,,,,,,,,,,[],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Dúplex en Pabellon,Corró d'Avall,Les Franqueses del Vallès,les_franqueses_del_valles,288000,128,4,3,['https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/824241__000.jpg'],1,"{'r1r6': {'property': None, 'kitchen': None, 'bathroom': None, 'interior': None}, 'style': {'label': None, 'confidence': None}, 'features_by_room_type': {'terrace': {'unique_features': [{'label': 'fence', 'details': []}], 'best_photo_idx': 0}}}",condo_apartment,,,,,,,,,,,,[],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Dúplex en Carrer de Girona, cerca de Carrer del Ponent",Bellavista,Les Franqueses del Vallès,les_franqueses_del_valles,320000,188,4,2,['https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/824242__004.jpg'],1,"{'r1r6': {'property': 2.4, 'kitchen': None, 'bathroom': None, 'interior': 2.4}, 'style': {'label': None, 'confidence': None}, 'features_by_room_type': {'dining_room': {'unique_features': [{'label': 'hardwood_floor', 'details': ['light']}, {'label': 'natural_light', 'details': []}], 'best_photo_idx': 0}}}",condo_apartment,2.4,,,2.4,,,['light'],[],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Piso en Pabellon,Corró d'Avall,Les Franqueses del Vallès,les_franqueses_del_valles,205000,85,3,2,['https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/824243__000.jpg'],1,"{'r1r6': {'property': None, 'kitchen': None, 'bathroom': None, 'interior': None}, 'style': {'label': None, 'confidence': None}, 'features_by_room_type': {'balcony': {'unique_features': [{'label': 'balcony', 'details': []}], 'best_photo_idx': 0}}}",condo_apartment,,,,,,,,,,[],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Piso en Carrer del Pont, 14",Corró d'Avall,Les Franqueses del Vallès,les_franqueses_del_valles,130000,53,2,1,['https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/824244__000.jpg'],1,"{'r1r6': {'property': None, 'kitchen': None, 'bathroom': None, 'interior': None}, 'style': {'label': None, 'confidence': None}, 'features_by_room_type': {'outdoor_building': {'unique_features': [{'label': 'built_in_garage', 'details': []}], 'best_photo_idx': None}}}",condo_apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Piso en Carrer del Terme, nº 19",Bellavista,Les Franqueses del Vallès,les_franqueses_del_valles,159000,53,2,1,"['https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/824246__010.jpg', 'https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/824246__011.jpg', 'https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/824246__012.jpg', 'https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/824246__013.jpg', 'https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/824246__014.jpg', 'https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/824246__015.jpg', 'https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/824246__016.jpg', 'https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/824246__017.jpg', 'https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/824246__018.jpg', 'https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/824246__019.jpg', 'https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/824246__020.jpg', 'https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/824246__021.jpg', 'https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/824246__022.jpg', 'https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/824246__023.jpg', 'https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/824246__024.jpg', 'https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/824246__025.jpg', 'https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/824246__026.jpg', 'https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/824246__027.jpg', 'https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/824246__028.jpg', 'https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/824246__029.jpg', 'https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/824246__030.jpg', 'https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/824246__031.jpg']",22,"{'r1r6': {'property': 3.6, 'kitchen': 3.7, 'bathroom': 3.3, 'interior': 3.8}, 'style': {'label': None, 'confidence': None}, 'features_by_room_type': {'balcony': {'unique_features': [{'label': 'balcony', 'details': []}], 'best_photo_idx': 0}, 'empty_room': {'unique_features': [{'label': 'hardwood_floor', 'details': ['light']}, {'label': 'natural_light', 'details': []}, {'label': 'washer__dryer', 'details': []}, {'label': 'floor_ceiling_windows', 'details': []}], 'best_photo_idx': None}, 'living_room': {'unique_features': [{'label': 'fireplace', 'details': []}, {'label': 'hardwood_floor', 'details': ['light']}, {'label': 'tv', 'details': []}], 'best_photo_idx': 2}, 'kitchen': {'unique_features': [{'label': 'dark_brown_cabinets', 'details': []}, {'label': 'low_ceiling', 'details': []}, {'label': 'natural_light', 'details': []}, {'label': 'stovetop', 'details': ['black', 'electric']}, {'label': 'tile_floor', 'details': ['light']}, {'label': 'washer__dryer', 'details': []}, {'label': 'backsplash', 'details': []}, {'label': 'countertops', 'details': ['light']}, {'label': 'oven', 'details': ['black']}, {'label': 'countertops', 'details': ['dark']}, {'label': 'microwave', 'details': ['white']}, {'label': 'refrigerator', 'details': ['stainless_steel']}], 'best_photo_idx': 9}, 'room-bedroom': {'unique_features': [{'label': 'hardwood_floor', 'details': ['light']}, {'label': 'natural_light', 'details': []}, {'label': 'tv', 'details': []}, {'label': 'hardwood_floor', 'details': []}], 'best_photo_idx': 14}, 'office': {'unique_features': [{'label': 'hardwood_floor', 'details': ['light']}, {'label': 'natural_light', 'details': []}], 'best_photo_idx': 17}, 'bathroom': {'unique_features': [{'label': 'combined_bath_shower', 'details': ['shower_curtain', 'tile_tub']}, {'label': 'mirror', 'details': []}, {'label': 'sink', 'details': []}, {'label': 'toilet', 'details': []}, {'label': 'vanity', 'details': []}, {'label': 'combined_bath_shower', 'details': ['shower_curtain', 'tile_shower']}], 'best_photo_idx': 20}}}",condo_apartment,3.6,3.7,3.3,3.8,,,,,,[],0,,,,,['light'],[],[],[],,[],['light'],[],2,[],[],[],"['black', 'electric']",['light'],[],[],['dark'],['black'],['white'],['stainless_steel'],9,[],[],[],14,['light'],[],17,"['shower_curtain', 'tile_shower']",[],[],[],[],20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Piso en Zona Pabellón Deportivo,Corró d'Avall,Les Franqueses del Vallès,les_franqueses_del_valles,190000,86,3,2,['https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/824247__000.jpg'],1,"{'r1r6': {'property': None, 'kitchen': None, 'bathroom': None, 'interior': None}, 'style': {'label': None, 'confidence': None}, 'features_by_room_type': {'balcony': {'unique_features': [{'label': 'balcony', 'details': []}], 'best_photo_idx': 0}}}",condo_apartment,,,,,,,,,,[],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Piso en calle Salador Espriu , nº 7",Corró d'Amunt,Les Franqueses del Vallès,les_franqueses_del_valles,225000,100,4,2,['https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/824248__005.jpg'],1,"{'r1r6': {'property': None, 'kitchen': None, 'bathroom': None, 'interior': None}, 'style': {'label': None, 'confidence': None}, 'features_by_room_type': {'outdoor_building': {'unique_features': [{'label': 'awning', 'details': []}, {'label': 'fence', 'details': []}], 'best_photo_idx': None}}}",condo_apartment,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Dúplex en Carrer de Torre Pinòs,Bellavista,Les Franqueses del Vallès,les_franqueses_del_valles,255000,98,3,2,['https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/824249__031.jpg'],1,"{'r1r6': {'property': 2.4, 'kitchen': None, 'bathroom': None, 'interior': 2.4}, 'style': {'label': None, 'confidence': None}, 'features_by_room_type': {'living-dining_room': {'unique_features': [{'label': 'natural_light', 'details': []}, {'label': 'tile_floor', 'details': ['light']}, {'label': 'tv', 'details': []}], 'best_photo_idx': 0}}}",condo_apartment,2.4,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],['light'],[],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Piso en Carretera de Ribes,Corró d'Avall,Les Franqueses del Vallès,les_franqueses_del_valles,110320,77,2,1,['https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/824250__000.jpg'],1,"{'r1r6': {'property': None, 'kitchen': None, 'bathroom': None, 'interior': None}, 'style': {'label': None, 'confidence': None}, 'features_by_room_type': {'outdoor_building': {'unique_features': [{'label': 'fence', 'details': []}], 'best_photo_idx': None}}}",condo_apartment,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Piso en Plaça de Espanya,Bellavista,Les Franqueses del Vallès,les_franqueses_del_valles,158000,108,4,1,['https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/824251__017.jpg'],1,"{'r1r6': {'property': 4.0, 'kitchen': 4.0, 'bathroom': None, 'interior': None}, 'style': {'label': None, 'confidence': None}, 'features_by_room_type': {'kitchen': {'unique_features': [{'label': 'brown_cabinets', 'details': []}, {'label': 'countertops', 'details': ['dark']}, {'label': 'natural_light', 'details': []}, {'label': 'tile_floor', 'details': ['light']}, {'label': 'tile_wall', 'details': []}], 'best_photo_idx': 0}}}",condo_apartment,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,[],,['light'],,,['dark'],,,,0,,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Dúplex en Corró d'Avall,Corró d'Avall,Les Franqueses del Vallès,les_franqueses_del_valles,337000,144,3,2,['https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/824252__003.jpg'],1,"{'r1r6': {'property': 3.5, 'kitchen': 3.5, 'bathroom': None, 'interior': None}, 'style': {'label': None, 'confidence': None}, 'features_by_room_type': {'kitchen': {'unique_features': [{'label': 'backsplash', 'details': []}, {'label': 'concrete_floor', 'details': ['light']}, {'label': 'countertops', 'details': ['light']}, {'label': 'radiator', 'details': []}, {'label': 'stovetop', 'details': ['black', 'electric']}], 'best_photo_idx': 0}}}",condo_apartment,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,"['black', 'electric']",,,[],['light'],,,,0,,,,,,,,,,,,,,,,,,,,,,,,['light'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Piso en Vía del Ferrocarril,Corró d'Amunt,Les Franqueses del Vallès,les_franqueses_del_valles,94000,65,3,1,['https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/824253__005.jpg'],1,"{'r1r6': {'property': 3.7, 'kitchen': None, 'bathroom': None, 'interior': 3.7}, 'style': {'label': None, 'confidence': None}, 'features_by_room_type': {'empty_room': {'unique_features': [{'label': 'natural_light', 'details': []}, {'label': 'radiator', 'details': []}, {'label': 'tile_floor', 'details': ['light']}], 'best_photo_idx': None}}}",condo_apartment,3.7,,,3.7,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],['light'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Piso en Carrer de Sant Ponç, nº 71",Corró d'Amunt,Les Franqueses del Vallès,les_franqueses_del_valles,232000,103,3,1,['https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/824254__024.jpg'],1,"{'r1r6': {'property': None, 'kitchen': None, 'bathroom': None, 'interior': None}, 'style': {'label': None, 'confidence': None}, 'features_by_room_type': {'details': {'unique_features': [], 'best_photo_idx': None}}}",condo_apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Piso en Corró D´Avall,Corró d'Avall,Les Franqueses del Vallès,les_franqueses_del_valles,137000,68,2,1,['https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/824255__008.jpg'],1,"{'r1r6': {'property': None, 'kitchen': None, 'bathroom': None, 'interior': None}, 'style': {'label': None, 'confidence': None}, 'features_by_room_type': {'pool': {'unique_features': [{'label': 'fence', 'details': []}, {'label': 'patio', 'details': []}, {'label': 'pool', 'details': []}], 'best_photo_idx': 0}}}",condo_apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Piso en Corró D´Avall,Corró d'Avall,Les Franqueses del Vallès,les_franqueses_del_valles,219000,94,3,2,['https://restb-hackathon.s3.amazonaws.com/real_estate_dataset/images/824256__014.jpg'],1,"{'r1r6': {'property': 3.1, 'kitchen': None, 'bathroom': None, 'interior': 3.1}, 'style': {'label': None, 'confidence': None}, 'features_by_room_type': {'room-bedroom': {'unique_features': [{'label': 'natural_light', 'details': []}], 'best_photo_idx': 0}}}",condo_apartment,3.1,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
